GO:0098542;GO:0051707;GO:0043207;GO:0009607	GO:0045862	GO:0030334;GO:2000145;GO:0040012;GO:0051270	GO:0051336	GO:0022414	GO:0034976	GO:0006511;GO:0019941;GO:0043632;GO:0051603	GO:0048513	GO:0006457	GO:0006412;GO:0043043;GO:0006518	GO:1902532	GO:0045595	GO:0022904;GO:0022900	GO:0006839	GO:0009605	GO:0034613;GO:0070727;GO:0033365	GO:0001932;GO:0031399;GO:0042325;GO:0019220;GO:0051174	GO:0031324;GO:0051172	GO:1901566	GO:0045936;GO:0010563	GO:0048468	GO:0006897	GO:0051128	GO:0032270;GO:0051247	GO:0048812;GO:0120039;GO:0048858;GO:0032990;GO:0032989	GO:0032101	GO:0080135	GO:0007018	GO:0044419	GO:0051130	GO:0051347	GO:0043408	GO:0000902	GO:0032787;GO:0006631	GO:0051049	GO:0030163	GO:0006281;GO:0006974	GO:0043068;GO:0010942;GO:0043065	GO:0043405	GO:0022402	GO:0120036	GO:0051050	GO:0009967;GO:0010647;GO:0023056;GO:0048584	GO:1902531	GO:1901700	GO:0009653	GO:0009968;GO:0010648;GO:0023057;GO:0048585	GO:2000113;GO:0010558;GO:0031327;GO:0009890	GO:0051253;GO:0045934	GO:0051495;GO:0110053;GO:1902903;GO:0032956;GO:0032970	GO:0006364;GO:0016072	GO:0051240	GO:0006508	GO:0032259	GO:0034660;GO:0034470	GO:0032269;GO:0051248	GO:0031331;GO:0009896	GO:0043085;GO:0044093	GO:0016197	GO:0098656	GO:0006629;GO:0044255	GO:0055085;GO:0034220	GO:0034655;GO:0019439;GO:0044270;GO:0046700;GO:1901361	GO:0007346;GO:0010564;GO:1901990;GO:1901987	GO:0030154	GO:0005975	GO:0030030	GO:0044403	GO:0007010	GO:0009617	GO:0042127	GO:0009150;GO:0006163;GO:0009259;GO:0072521;GO:0019693	GO:0060627	GO:0006468	GO:0016192	GO:0007049	GO:0016042	GO:0071214;GO:0104004	GO:0051129	GO:0043269;GO:0043270	GO:0009628	GO:0042981;GO:0043067;GO:0010941	GO:0048024;GO:0043484;GO:0050684;GO:1903311	GO:0010243;GO:1901698	GO:0002376	GO:0065009;GO:0050790	GO:0051726	GO:0032535;GO:0090066	GO:0051640	GO:0006928	GO:0006915;GO:0012501;GO:0008219	GO:0060341;GO:0032880	GO:0072657	GO:0006355;GO:1903506;GO:2001141	GO:0006397;GO:0016071	GO:1901565	GO:0006952	GO:0033043	GO:0072594	GO:0046394;GO:0016053	GO:0051093	GO:0006091	GO:0010638	GO:0009266	GO:0035556	GO:0009725;GO:0009719	GO:0033993	GO:0009165;GO:1901293;GO:0090407	GO:0031334;GO:0044089	GO:0001934;GO:0042327;GO:0045937;GO:0010562	GO:0007015;GO:0097435	GO:1902533	GO:0044282	GO:0033554	GO:0044283	GO:0030162	GO:0007005	GO:0018193	GO:0006417;GO:0010608;GO:0034248	GO:0000398;GO:0000377;GO:0000375	GO:0034622;GO:0065003;GO:0043933	GO:0009888	GO:0032940;GO:0046903;GO:0140352	GO:0007017	GO:0015980	GO:0051028;GO:0050658;GO:0050657;GO:0051236;GO:0015931	GO:0048193	GO:0008610	GO:0010629	GO:0070647	GO:0097305	GO:0006399	GO:0043254;GO:0044087	GO:0009991	GO:0010628;GO:0051254;GO:0045935	GO:0031401	GO:0010035	GO:0006402;GO:0006401	GO:0044265;GO:0009057	GO:0071900;GO:0045859;GO:0043549;GO:0051338	GO:1901137	GO:0080134	GO:0019752;GO:0043436;GO:0006082	GO:0030036;GO:0030029	GO:0043603;GO:0043604	GO:0006886	GO:0050793	GO:0006259	GO:0016567;GO:0032446	GO:0010033	GO:0046395;GO:0016054	GO:0022603	GO:0044070	GO:0051321	GO:0009117;GO:0006753;GO:0019637;GO:0055086	GO:0071310	GO:0006790	GO:1903047	GO:0051493	GO:0003008	GO:0048609	GO:0003006	GO:0009314	GO:0048869	GO:0016310	GO:0006357	GO:0051276	GO:0007165	GO:2001233	GO:0032501	GO:1901701	GO:0022618;GO:0071826	GO:0007389	GO:0022412	GO:0006979	GO:0070887	GO:0006310	GO:0006812	GO:0032879	GO:0006325	GO:1901135	GO:0048646	GO:0046459	GO:0045892;GO:1903507;GO:1902679	GO:0040011;GO:0048870	GO:0045893;GO:1903508;GO:1902680;GO:0010557;GO:0031328;GO:0009891	GO:0042592	GO:0051239	GO:0006520	GO:0062197	GO:0031400	GO:0043066;GO:0043069;GO:0060548	GO:0061024	GO:0008380	GO:0034654;GO:0018130;GO:0019438;GO:1901362	GO:0034645;GO:0009059	GO:0031329;GO:0009894
0.778	1.000	0.600	0.833	0.682	0.800	0.800	0.818	0.889	1.000	1.000	0.857	1.000	1.000	0.846	0.917	0.895	0.850	1.000	0.833	0.600	0.667	0.810	0.929	0.600	0.857	0.833	0.333	0.917	0.750	1.000	1.000	0.500	1.000	0.714	1.000	1.000	0.667	1.000	0.800	0.600	0.600	0.765	0.875	0.889	0.471	0.933	0.727	0.900	0.833	1.000	0.857	0.824	1.000	0.929	1.000	1.000	0.917	0.714	0.833	0.846	0.889	1.000	0.833	1.000	1.000	0.600	1.000	0.818	1.000	0.875	1.000	0.800	0.500	0.733	0.923	1.000	0.800	1.000	0.667	0.905	0.833	0.929	0.857	0.875	0.905	0.875	1.000	0.600	0.417	1.000	0.833	0.833	0.812	0.955	1.000	0.900	0.833	1.000	1.000	0.833	1.000	0.857	1.000	0.846	0.778	0.833	1.000	0.625	1.000	0.714	0.857	1.000	0.810	1.000	0.875	1.000	0.900	0.917	0.909	0.857	0.600	0.800	0.500	1.000	1.000	0.800	1.000	0.889	0.778	0.857	1.000	0.700	0.800	0.824	0.889	1.000	1.000	0.867	1.000	1.000	0.700	0.947	0.857	1.000	0.846	0.933	1.000	0.833	0.867	1.000	1.000	0.600	1.000	0.923	0.800	0.800	0.857	0.714	0.000	0.600	0.533	0.857	0.833	0.700	0.800	1.000	0.818	0.800	0	0.714	1.000	0.000	0.600	0.667	0.714	1.000	0.833	0.737	0.857	1.000	0.600	1.000	0.833	0.571	0.800	0.571	0.818	1.000	0.400	1.000	1.000	0.875	0.941	1.000	1.000	0.909
0.714	0.800	1.000	0.833	0.857	1.000	0.857	1.000	1.000	1.000	1.000	0.857	1.000	1.000	0.571	0.857	0.857	0.571	1.000	1.000	0.800	1.000	0.571	0.857	1.000	1.000	1.000	1.000	0.857	0.571	1.000	1.000	0.833	1.000	0.571	0.800	0.857	0.667	1.000	0.857	0.800	0.857	1.000	0.714	0.000	0.857	1.000	0.714	0.857	0.833	1.000	0.857	0.857	1.000	1.000	0.857	0.667	0.857	0.714	0.833	0.857	0.857	1.000	0.833	0.833	1.000	0.857	1.000	0.857	0.800	1.000	1.000	0.800	0.833	0.714	1.000	1.000	0.400	0.833	0.714	0.571	0.714	1.000	0.571	0.857	0.714	0.857	1.000	0.800	0.714	0.600	1.000	0.833	0.857	1.000	0.857	0.857	0.714	1.000	1.000	0.667	1.000	0.714	1.000	0.429	0.571	0.833	1.000	0.714	1.000	1.000	1.000	1.000	0.286	1.000	0.857	0.833	1.000	0.857	1.000	0.571	1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.857	0.857	0.714	1.000	0.714	0.400	0.857	1.000	0.571	1.000	0.714	0.857	1.000	1.000	1.000	0.857	1.000	0.857	0.714	0.857	0.833	0.429	1.000	0.833	0.800	1.000	1.000	0.200	1.000	0.857	0.857	0.857	1.000	0.857	0.857	0.714	0.857	1.000	0.800	0.286	1.000	0.714	0	1.000	1.000	1.000	0.500	0.000	0.800	1.000	0.571	1.000	1.000	1.000	1.000	1.000	0.714	0.857	0.571	0.857	1.000	0.400	1.000	0.714	0.571	1.000	1.000	0.857	0.714
1.000	0.800	1.000	1.000	1.000	1.000	0.875	1.000	1.000	0.875	0.800	1.000	1.000	1.000	1.000	0.875	0.875	0.875	0.875	1.000	1.000	1.000	0.875	0.750	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	0.857	1.000	1.000	0.875	1.000	0.875	0.875	0.875	0.875	1.000	0.875	0.875	0.875	1.000	0.714	1.000	1.000	1.000	0.750	0.875	0.833	1.000	1.000	1.000	1.000	1.000	0.875	0.833	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	0.833	1.000	0.875	1.000	1.000	0.833	0.875	0.875	0.875	0.875	1.000	1.000	1.000	0.875	1.000	1.000	1.000	1.000	0.833	1.000	0.875	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	0.875	0.833	1.000	1.000	1.000	1.000	1.000	1.000	0.875	1.000	0.875	1.000	0.875	0.875	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.750	1.000	0.857	1.000	0.875	1.000	0.750	0.875	1.000	0.800	0.875	1.000	1.000	1.000	1.000	1.000	0.875	1.000	1.000	0.875	1.000	0.875	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	0.875	0.875	1.000	0.750	1.000	1.000	1.000	0	1.000	1.000	1.000	0.875	1.000	1.000	0.875	1.000	1.000	1.000	1.000	0.833	1.000	0.875	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.875	0.750	0.875
1.000	1.000	1.000	1.000	0.333	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	0.833	1.000	0.800	1.000	1.000	0.667	1.000	0.833	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.500	1.000	0.833	0.833	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.833	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	0.800	0.500	1.000	1.000	1.000	0.833	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	0.833	1.000	0.800	1.000	0.667	1.000	1.000	0.800	1.000	0.667	1.000	1.000	1.000	0.833	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.333	1.000	0.833	1.000	0.833	1.000	1.000	1.000	0.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.833	0.833	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000
1.000	0.800	1.000	0.800	0.000	1.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.400	1.000	1.000	0.600	0.800	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	0.800	1.000	1.000	0.800	0.800	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	0.400	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	0.600	1.000	1.000	1.000	0.800	1.000	1.000	0.800	0.600	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.200	0.800	0.000	1.000	1.000	1.000	1.000	0.800	0.600	1.000	1.000	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800
0.833	0.800	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.833	1.000	1.000	0.667	1.000	1.000	1.000	1.000	0.667	0.833	1.000	1.000	1.000	1.000	0.833	0.667	1.000	1.000	0.833	1.000	0.833	0.800	1.000	0.667	1.000	1.000	1.000	1.000	1.000	1.000	0.167	0.833	1.000	0.833	1.000	0.833	1.000	1.000	1.000	1.000	1.000	0.833	0.667	0.833	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.800	0.833	0.833	0.667	0.667	1.000	1.000	0.833	0.833	1.000	1.000	1.000	0.833	0.600	1.000	1.000	1.000	1.000	0.833	0.833	0.667	1.000	1.000	0.833	0.833	0.667	1.000	0.667	0.833	0.833	1.000	0.833	1.000	1.000	1.000	1.000	0.333	1.000	0.833	0.833	1.000	0.833	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.833	1.000	0.833	0.800	1.000	1.000	0.667	1.000	0.833	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.833	1.000	1.000	0.500	1.000	0.833	1.000	1.000	1.000	0.800	0.800	1.000	0.833	0.833	1.000	1.000	1.000	0.833	0.833	1.000	1.000	0.500	1.000	0.667	0.500	1.000	1.000	1.000	0	0.333	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	0.833	1.000	0.833	1.000	1.000	0.200	1.000	0.667	0.833	1.000	1.000	1.000	0.667
0.778	0.600	0.800	0.833	0.857	1.000	0.900	0.909	1.000	1.000	0.600	0.857	1.000	1.000	0.692	0.833	0.857	0.643	1.000	1.000	0.800	1.000	0.714	0.857	1.000	0.857	0.833	1.000	0.917	0.750	1.000	1.000	0.833	1.000	0.714	0.800	0.571	0.667	1.000	0.800	0.600	0.800	0.857	0.714	0.357	0.857	0.857	0.636	0.700	0.833	0.857	0.857	0.929	1.000	0.929	0.750	0.500	0.833	0.714	0.833	0.923	0.889	1.000	0.667	0.833	1.000	0.800	1.000	0.909	0.800	0.875	1.000	0.800	0.667	0.857	1.000	1.000	0.000	0.667	0.667	0.357	0.667	1.000	0.571	0.875	0.786	0.750	1.000	0.800	0.833	0.600	1.000	0.833	0.714	1.000	0.889	0.900	0.833	1.000	1.000	0.667	1.000	0.714	0.857	0.538	0.556	0.500	1.000	0.750	1.000	1.000	1.000	1.000	0.214	1.000	0.750	0.833	1.000	0.917	1.000	0.643	1.000	0.600	1.000	1.000	1.000	1.000	1.000	0.786	0.889	0.571	1.000	0.700	0.200	0.857	0.889	0.375	1.000	0.857	0.900	1.000	0.800	0.929	0.857	1.000	0.923	0.857	0.800	0.833	0.571	1.000	0.833	0.800	1.000	1.000	0.000	0.800	0.714	0.857	0.714	0.800	0.929	0.714	0.857	0.800	0.800	0.600	0.500	0.800	0.714	0.000	0.875	1.000	1.000	0.333	0	0.800	1.000	0.714	0.857	1.000	1.000	1.000	0.667	0.714	0.800	0.571	0.909	1.000	0.000	1.000	0.625	0.625	1.000	1.000	0.929	0.727
1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	0.600	1.000	1.000	1.000	0.800	0.800	1.000	1.000	0.600	0.600	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	0.800	1.000	1.000	0.800	1.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.200	1.000	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.800	0.800	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.800	1.000	1.000	1.000	0.800	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.600	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	0	1.000	1.000	0.600	1.000	1.000	1.000	0.800	1.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	0.600	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	0.600	1.000	1.000	1.000	0.833	0.833	1.000	1.000	0.833	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.500	1.000	0.833	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.833	1.000	1.000	0.833	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.833	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.667	1.000	1.000	1.000	0.833	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.833	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0.833	0.833	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0	0.833	1.000	0.833	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000
0.889	0.600	0.000	0.333	0.947	0.800	0.900	0.909	0.889	1.000	0.800	0.714	1.000	1.000	0.923	0.667	0.632	0.684	1.000	0.500	0.800	0.667	0.737	0.786	1.000	0.714	0.500	0.833	0.917	0.750	0.800	0.571	1.000	1.000	0.000	1.000	1.000	0.667	0.400	0.900	0.400	0.000	0.706	0.688	0.778	0.941	0.667	0.545	0.800	1.000	1.000	0.286	0.941	0.875	0.929	0.625	0.667	0.583	0.571	0.833	0.923	0.889	1.000	0.833	1.000	1.000	0.700	0.800	0.727	1.000	0.500	1.000	0.000	0.333	0.667	0.846	1.000	0.800	1.000	0.000	0.789	0.750	0.857	0.571	0.750	0.632	0.750	1.000	0.800	0.750	0.800	0.000	0.500	0.875	0.947	1.000	1.000	0.917	0.800	1.000	0.667	1.000	1.000	0.714	0.462	0.667	0.833	0.833	0.750	0.667	1.000	0.714	1.000	0.842	1.000	0.750	1.000	0.800	0.833	1.000	0.842	1.000	0.400	0.800	1.000	1.000	1.000	1.000	0.833	1.000	0.714	0.833	0.800	0.800	0.706	0.778	1.000	1.000	0.933	0.700	1.000	0.400	0.947	0.714	1.000	0.615	0.733	1.000	1.000	0.667	1.000	0.500	0.000	1.000	0.923	0.400	1.000	0.857	0.857	0.571	1.000	0.933	0.857	0.944	0.600	0.900	1.000	0.579	1.000	0.737	0.571	0.875	1.000	1.000	0.833	0.714	1.000	0.833	0	1.000	1.000	0.800	1.000	0.833	0.714	0.800	0.714	0.364	0.857	0.600	0.600	0.750	0.500	0.941	0.933	1.000	0.818
1.000	1.000	1.000	1.000	0.714	1.000	0.857	0.714	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	0.571	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	0.714	1.000	0.857	1.000	0.857	0.571	0.571	1.000	1.000	1.000	0.857	0.857	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	0.857	0.714	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.429	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	1.000	1.000	1.000	1.000	0.714	1.000	1.000	1.000	1.000	1.000	1.000	0.571	0.800	1.000	1.000	1.000	0.800	1.000	1.000	0.571	0.857	1.000	1.000	1.000	0.800	0.857	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.571	1.000	0.857	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.714	1.000	0.714	0.800	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	0.857	0.600	1.000	1.000	0	1.000	0.800	1.000	0.500	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	0.800	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.778	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.900	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.900	0.889	0.625	1.000	1.000	0.500	1.000	1.000	1.000	1.000	1.000	0.125	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.667	1.000	1.000	1.000	0.800	1.000	0.600	1.000	1.000	1.000	0.889	1.000	0.333	1.000	1.000	1.000	1.000	0.625	1.000	0.556	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	0.700	1.000	0.700	1.000	1.000	1.000	1.000	0.900	0.833	1.000	1.000	1.000	0.100	1.000	0.400	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.833	1.000	1.000	0	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.857	1.000	1.000	1.000	1.000	1.000	0.300	1.000	1.000
1.000	1.000	0.800	1.000	0.600	1.000	1.000	0.800	0.800	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	0.800	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.800	0.800	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	0.600	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.800	0.800	1.000	0	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000
1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	0.600	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0.000	1.000	0.800	1.000	1.000	1.000	1.000	1.000	0.600	1.000	1.000	1.000	0.800	1.000	0.800	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	0	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	1.000	0.800	1.000	1.000
